region,avg_need_score,glp1_use_rate,need_norm,use_norm,gap_score
West,26.256347438752783,0.1383010835404209,11.400861987415547,0.0,11.400861987415547
South,31.933410197284143,0.1761293403106739,100.0,100.0,0.0
Midwest,29.645781990521325,0.1715598820515871,64.29810699064859,87.92051590735714,-23.62240891670855
Northeast,25.52582781456954,0.1532575896071128,0.0,39.537920442723795,-39.537920442723795
