Year,State,StateName,County,FIPS,Diabetes,HighBP,Obesity,NeedScore
2023,AL,Alabama,Lee,01081,12.5,37.5,38.4,29.46666666666667
2023,AL,Alabama,Limestone,01083,12.5,40.7,39.6,30.933333333333337
2023,AL,Alabama,Lowndes,01085,24.1,56.5,51.2,43.93333333333334
2023,AL,Alabama,Macon,01087,20.0,50.6,46.7,39.1
2023,AL,Alabama,Madison,01089,12.1,38.6,39.9,30.2
2023,AL,Alabama,Marengo,01091,19.8,51.5,43.1,38.13333333333333
2023,AL,Alabama,Marion,01093,15.5,45.9,42.4,34.6
2023,AL,Alabama,Marshall,01095,14.5,41.7,37.6,31.26666666666667
2023,AL,Alabama,Mobile,01097,16.1,43.1,39.0,32.733333333333334
2023,AL,Alabama,Monroe,01099,19.7,51.3,43.8,38.266666666666666
2023,AL,Alabama,Montgomery,01101,16.4,46.3,46.1,36.266666666666666
2023,AL,Alabama,Morgan,01103,14.7,44.5,38.6,32.6
2023,AL,Alabama,Perry,01105,24.6,56.9,52.9,44.800000000000004
2023,AL,Alabama,Pickens,01107,18.0,48.3,48.0,38.1
2023,AL,Alabama,Pike,01109,14.1,40.6,40.3,31.666666666666668
2023,AL,Alabama,Randolph,01111,16.1,46.1,37.8,33.333333333333336
2023,AL,Alabama,Russell,01113,17.3,46.7,43.0,35.666666666666664
2023,AL,Alabama,Shelby,01117,11.2,40.2,31.7,27.7
2023,AL,Alabama,St. Clair,01115,13.0,41.8,39.6,31.46666666666667
2023,AL,Alabama,Sumter,01119,19.7,50.0,47.2,38.96666666666667
2023,AL,Alabama,Talladega,01121,17.2,48.2,45.6,37.0
2023,AL,Alabama,Tallapoosa,01123,16.8,48.5,39.5,34.93333333333333
2023,AL,Alabama,Tuscaloosa,01125,12.0,38.9,41.0,30.633333333333336
2023,AL,Alabama,Walker,01127,15.1,44.1,35.8,31.666666666666668
2023,AL,Alabama,Washington,01129,17.0,47.4,41.1,35.166666666666664
2023,AL,Alabama,Wilcox,01131,23.8,56.7,51.2,43.9
2023,AL,Alabama,Winston,01133,16.5,46.9,39.1,34.166666666666664
2023,AR,Arkansas,Calhoun,05013,14.6,45.5,39.2,33.1
2023,AR,Arkansas,Clay,05021,14.1,43.3,40.2,32.53333333333333
2023,AR,Arkansas,Cleburne,05023,15.1,45.3,37.9,32.766666666666666
2023,AR,Arkansas,Dallas,05039,17.1,49.8,41.9,36.266666666666666
2023,AR,Arkansas,Franklin,05047,14.6,44.6,39.8,33.0
2023,AR,Arkansas,Greene,05055,12.5,42.5,42.3,32.43333333333333
2023,AR,Arkansas,Jackson,05067,15.4,44.4,43.9,34.56666666666666
2023,AR,Arkansas,Jefferson,05069,17.6,50.9,45.9,38.13333333333333
2023,AR,Arkansas,Lawrence,05075,14.4,43.7,43.7,33.93333333333334
2023,AR,Arkansas,Lee,05077,19.7,51.7,46.9,39.43333333333333
2023,AR,Arkansas,Madison,05087,13.9,44.1,40.8,32.93333333333333
2023,AR,Arkansas,Marion,05089,16.4,46.3,37.9,33.53333333333333
2023,AR,Arkansas,Monroe,05095,19.1,52.3,43.5,38.300000000000004
2023,AR,Arkansas,Montgomery,05097,16.4,47.8,40.9,35.03333333333333
2023,AR,Arkansas,Perry,05105,14.1,43.8,38.9,32.266666666666666
2023,AR,Arkansas,Pike,05109,14.4,44.3,38.3,32.333333333333336
2023,AR,Arkansas,Randolph,05121,14.7,43.6,41.4,33.23333333333333
2023,AR,Arkansas,Washington,05143,10.1,34.6,35.4,26.7
2023,AR,Arkansas,Arkansas,05001,15.2,45.4,39.1,33.23333333333333
2023,AR,Arkansas,Ashley,05003,18.3,49.4,45.1,37.6
2023,AR,Arkansas,Baxter,05005,15.0,47.0,37.7,33.233333333333334
2023,AR,Arkansas,Benton,05007,10.3,32.8,35.3,26.13333333333333
2023,AR,Arkansas,Boone,05009,13.1,40.7,40.7,31.5
2023,AR,Arkansas,Bradley,05011,17.6,48.7,42.5,36.26666666666667
2023,AR,Arkansas,Carroll,05015,15.0,45.3,37.6,32.63333333333333
2023,AR,Arkansas,Chicot,05017,20.5,53.0,47.1,40.199999999999996
2023,AR,Arkansas,Clark,05019,12.9,40.3,40.0,31.066666666666663
2023,AR,Arkansas,Cleveland,05025,15.0,46.5,42.4,34.63333333333333
2023,AR,Arkansas,Columbia,05027,14.4,42.8,37.7,31.633333333333336
2023,AR,Arkansas,Conway,05029,15.6,46.8,41.4,34.6
2023,AR,Arkansas,Craighead,05031,11.6,39.1,39.1,29.933333333333337
2023,AR,Arkansas,Crawford,05033,13.0,41.9,38.8,31.23333333333333
2023,AR,Arkansas,Crittenden,05035,16.5,47.4,46.7,36.86666666666667
2023,AR,Arkansas,Cross,05037,16.1,46.5,45.0,35.86666666666667
2023,AR,Arkansas,Desha,05041,21.2,52.8,46.6,40.199999999999996
2023,AR,Arkansas,Drew,05043,15.2,44.7,43.8,34.56666666666667
2023,AR,Arkansas,Faulkner,05045,10.8,35.4,39.8,28.666666666666668
2023,AR,Arkansas,Fulton,05049,17.1,49.1,39.6,35.26666666666667
2023,AR,Arkansas,Garland,05051,14.8,45.8,39.1,33.233333333333334
2023,AR,Arkansas,Grant,05053,12.0,40.2,36.9,29.7
2023,AR,Arkansas,Hempstead,05057,16.6,46.2,45.6,36.13333333333333
2023,AR,Arkansas,Hot Spring,05059,13.9,43.3,37.1,31.433333333333334
2023,AR,Arkansas,Howard,05061,15.2,44.3,39.4,32.96666666666666
2023,AR,Arkansas,Independence,05063,13.4,41.3,41.6,32.1
2023,AR,Arkansas,Izard,05065,15.9,47.6,41.2,34.9
2023,AR,Arkansas,Johnson,05071,14.6,42.5,37.4,31.5
2023,AR,Arkansas,Lafayette,05073,20.6,52.6,46.0,39.73333333333333
2023,AR,Arkansas,Lincoln,05079,13.8,43.2,42.6,33.2
2023,AR,Arkansas,Little River,05081,15.7,46.3,41.3,34.43333333333333
2023,AR,Arkansas,Logan,05083,14.4,44.9,38.1,32.46666666666667
2023,AR,Arkansas,Lonoke,05085,11.3,39.0,36.1,28.8
2023,AR,Arkansas,Miller,05091,15.3,44.8,38.1,32.733333333333334
2023,AR,Arkansas,Mississippi,05093,15.2,46.4,46.6,36.06666666666666
2023,AR,Arkansas,Nevada,05099,18.3,51.0,44.0,37.766666666666666
2023,AR,Arkansas,Newton,05101,15.3,47.4,38.6,33.76666666666667
2023,AR,Arkansas,Ouachita,05103,17.7,49.5,43.5,36.9
2023,AR,Arkansas,Phillips,05107,21.7,55.6,48.4,41.9
2023,AR,Arkansas,Poinsett,05111,14.6,43.0,41.4,33.0
2023,AR,Arkansas,Polk,05113,15.5,44.8,40.0,33.43333333333333
2023,AR,Arkansas,Pope,05115,12.7,38.7,44.6,32.0
2023,AR,Arkansas,Prairie,05117,15.1,46.7,40.3,34.03333333333333
2023,AR,Arkansas,Pulaski,05119,12.9,42.2,40.5,31.866666666666664
2023,AR,Arkansas,Saline,05125,11.3,40.0,34.5,28.599999999999998
2023,AR,Arkansas,Scott,05127,14.8,44.1,37.0,31.96666666666667
2023,AR,Arkansas,Searcy,05129,17.6,49.3,39.9,35.6
2023,AR,Arkansas,Sebastian,05131,13.1,40.7,36.2,30.0
2023,AR,Arkansas,Sevier,05133,15.2,40.2,41.4,32.266666666666666
2023,AR,Arkansas,Sharp,05135,16.2,46.7,39.4,34.1
2023,AR,Arkansas,St. Francis,05123,18.9,50.1,48.2,39.06666666666666
2023,AR,Arkansas,Stone,05137,17.0,47.9,39.8,34.9
2023,AR,Arkansas,Union,05139,16.0,46.4,39.4,33.93333333333333
2023,AR,Arkansas,Van Buren,05141,16.2,47.4,39.6,34.4
2023,AR,Arkansas,White,05145,12.6,40.4,39.7,30.900000000000002
2023,AR,Arkansas,Woodruff,05147,18.3,49.8,39.2,35.766666666666666
2023,AR,Arkansas,Yell,05149,14.7,43.5,42.0,33.4
2023,AZ,Arizona,Apache,04001,17.5,36.0,35.8,29.766666666666666
2023,AZ,Arizona,Cochise,04003,13.7,39.0,31.2,27.96666666666667
2023,AZ,Arizona,Coconino,04005,9.3,27.0,23.6,19.96666666666667
2023,AZ,Arizona,Gila,04007,15.0,39.3,31.4,28.566666666666663
2023,AZ,Arizona,Graham,04009,11.4,32.2,36.0,26.53333333333333
2023,AZ,Arizona,Greenlee,04011,10.6,29.8,33.1,24.5
2023,AZ,Arizona,La Paz,04012,17.5,46.3,33.2,32.333333333333336
2023,AZ,Arizona,Maricopa,04013,10.6,30.8,30.4,23.933333333333334
2023,AZ,Arizona,Mohave,04015,14.2,42.0,32.7,29.633333333333336
2023,AZ,Arizona,Navajo,04017,15.1,40.7,37.6,31.133333333333336
2023,AZ,Arizona,Pima,04019,11.0,34.1,31.1,25.400000000000002
2023,AZ,Arizona,Pinal,04021,12.9,36.2,38.4,29.166666666666668
2023,AZ,Arizona,Santa Cruz,04023,15.5,35.7,34.2,28.46666666666667
2023,AZ,Arizona,Yavapai,04025,12.1,38.0,27.0,25.7
2023,AZ,Arizona,Yuma,04027,14.5,35.3,37.4,29.066666666666663
2023,CA,California,Nevada,06057,11.5,37.5,27.5,25.5
2023,CA,California,Santa Cruz,06087,10.2,30.5,25.8,22.166666666666668
2023,CA,California,Alameda,06001,11.0,28.5,22.8,20.766666666666666
2023,CA,California,Alpine,06003,11.6,35.7,28.4,25.233333333333334
2023,CA,California,Amador,06005,11.8,37.6,29.6,26.333333333333332
2023,CA,California,Butte,06007,10.7,32.2,29.3,24.066666666666666
2023,CA,California,Calaveras,06009,13.2,37.8,29.8,26.933333333333334
2023,CA,California,Colusa,06011,13.4,32.0,35.0,26.8
2023,CA,California,Contra Costa,06013,11.3,31.2,28.0,23.5
2023,CA,California,Del Norte,06015,12.5,36.0,31.0,26.5
2023,CA,California,El Dorado,06017,10.8,33.6,27.7,24.03333333333333
2023,CA,California,Fresno,06019,12.7,31.7,37.7,27.36666666666667
2023,CA,California,Glenn,06021,12.6,32.7,32.1,25.8
2023,CA,California,Humboldt,06023,11.4,32.9,31.3,25.2
2023,CA,California,Imperial,06025,15.0,33.2,34.7,27.633333333333336
2023,CA,California,Inyo,06027,12.4,35.1,28.2,25.233333333333334
2023,CA,California,Kern,06029,13.3,32.0,36.0,27.099999999999998
2023,CA,California,Kings,06031,12.1,30.4,34.7,25.733333333333334
2023,CA,California,Lake,06033,14.1,39.6,32.7,28.8
2023,CA,California,Lassen,06035,11.5,33.7,34.2,26.46666666666667
2023,CA,California,Los Angeles,06037,12.6,30.2,26.5,23.099999999999998
2023,CA,California,Madera,06039,13.5,33.2,36.5,27.733333333333334
2023,CA,California,Marin,06041,10.2,32.6,21.3,21.366666666666664
2023,CA,California,Mariposa,06043,13.5,39.0,30.5,27.666666666666668
2023,CA,California,Mendocino,06045,13.7,38.5,29.3,27.166666666666668
2023,CA,California,Merced,06047,13.0,31.2,33.8,26.0
2023,CA,California,Modoc,06049,14.9,41.3,31.9,29.366666666666664
2023,CA,California,Mono,06051,10.5,31.5,31.2,24.400000000000002
2023,CA,California,Monterey,06053,12.5,32.0,31.1,25.2
2023,CA,California,Napa,06055,11.4,33.0,27.9,24.099999999999998
2023,CA,California,Orange,06059,11.5,29.1,23.9,21.5
2023,CA,California,Placer,06061,9.8,32.7,27.3,23.26666666666667
2023,CA,California,Plumas,06063,13.5,40.4,29.9,27.933333333333334
2023,CA,California,Riverside,06065,12.4,33.3,36.8,27.5
2023,CA,California,Sacramento,06067,11.2,30.9,29.6,23.899999999999995
2023,CA,California,San Benito,06069,11.3,29.9,31.5,24.23333333333333
2023,CA,California,San Bernardino,06071,12.1,31.9,33.3,25.766666666666666
2023,CA,California,San Diego,06073,10.0,28.7,25.3,21.333333333333332
2023,CA,California,San Francisco,06075,10.2,27.0,17.2,18.133333333333333
2023,CA,California,San Joaquin,06077,12.3,30.4,30.7,24.46666666666667
2023,CA,California,San Luis Obispo,06079,10.0,31.8,26.1,22.633333333333336
2023,CA,California,San Mateo,06081,10.6,29.2,22.3,20.7
2023,CA,California,Santa Barbara,06083,10.8,30.4,26.1,22.433333333333337
2023,CA,California,Santa Clara,06085,10.5,27.0,21.9,19.8
2023,CA,California,Shasta,06089,11.7,35.9,29.3,25.633333333333336
2023,CA,California,Sierra,06091,15.3,42.8,32.5,30.2
2023,CA,California,Siskiyou,06093,13.9,39.4,31.8,28.366666666666664
2023,CA,California,Solano,06095,12.1,33.3,31.3,25.566666666666663
2023,CA,California,Sonoma,06097,10.7,31.6,26.1,22.8
2023,CA,California,Stanislaus,06099,11.9,31.8,36.4,26.7
2023,CA,California,Sutter,06101,12.8,33.3,29.5,25.2
2023,CA,California,Tehama,06103,13.0,35.9,31.6,26.833333333333332
2023,CA,California,Trinity,06105,15.9,43.7,33.3,30.96666666666667
2023,CA,California,Tulare,06107,13.1,31.2,35.0,26.433333333333334
